Vaccine,Geography,FIPS,Season/Survey Year,Month,Dimension,Estimate(%),New_per_Month
Seasonal Influenza,Pennsylvania,42,2009-10,8,>=6 Months,0.6,0.6
Seasonal Influenza,Pennsylvania,42,2009-10,9,>=6 Months,8.1,7.5
Seasonal Influenza,Pennsylvania,42,2009-10,10,>=6 Months,26.1,18
Seasonal Influenza,Pennsylvania,42,2009-10,11,>=6 Months,36.7,10.6
Seasonal Influenza,Pennsylvania,42,2009-10,12,>=6 Months,40.3,3.6
Seasonal Influenza,Pennsylvania,42,2010-11,1,>=6 Months,41,0.7
Seasonal Influenza,Pennsylvania,42,2010-11,2,>=6 Months,42.5,1.5
Seasonal Influenza,Pennsylvania,42,2010-11,3,>=6 Months,43.2,0.7
Seasonal Influenza,Pennsylvania,42,2010-11,4,>=6 Months,43.4,0.2
Seasonal Influenza,Pennsylvania,42,2010-11,5,>=6 Months,43.4,0
Seasonal Influenza,Pennsylvania,42,2010-11,8,>=6 Months,1,1
Seasonal Influenza,Pennsylvania,42,2010-11,9,>=6 Months,7.8,6.8
Seasonal Influenza,Pennsylvania,42,2010-11,10,>=6 Months,26.7,18.9
Seasonal Influenza,Pennsylvania,42,2010-11,11,>=6 Months,36.9,10.2
Seasonal Influenza,Pennsylvania,42,2010-11,12,>=6 Months,39.4,2.5
Seasonal Influenza,Pennsylvania,42,2011-12,1,>=6 Months,41.9,2.5
Seasonal Influenza,Pennsylvania,42,2011-12,2,>=6 Months,42.9,1
Seasonal Influenza,Pennsylvania,42,2011-12,3,>=6 Months,43.1,0.2
Seasonal Influenza,Pennsylvania,42,2011-12,4,>=6 Months,43.3,0.2
Seasonal Influenza,Pennsylvania,42,2011-12,5,>=6 Months,43.5,0.2
Seasonal Influenza,Pennsylvania,42,2011-12,8,>=6 Months,1.5,1.5
Seasonal Influenza,Pennsylvania,42,2011-12,9,>=6 Months,9,7.5
Seasonal Influenza,Pennsylvania,42,2011-12,10,>=6 Months,27.6,18.6
Seasonal Influenza,Pennsylvania,42,2011-12,11,>=6 Months,37.5,9.9
Seasonal Influenza,Pennsylvania,42,2011-12,12,>=6 Months,40.1,2.6
Seasonal Influenza,Pennsylvania,42,2012-13,1,>=6 Months,42.7,2.6
Seasonal Influenza,Pennsylvania,42,2012-13,2,>=6 Months,44.4,1.7
Seasonal Influenza,Pennsylvania,42,2012-13,3,>=6 Months,45,0.6
Seasonal Influenza,Pennsylvania,42,2012-13,4,>=6 Months,45.7,0.7
Seasonal Influenza,Pennsylvania,42,2012-13,5,>=6 Months,46.2,0.5
Seasonal Influenza,Pennsylvania,42,2012-13,8,>=6 Months,2,2
Seasonal Influenza,Pennsylvania,42,2012-13,9,>=6 Months,9.6,7.6
Seasonal Influenza,Pennsylvania,42,2012-13,10,>=6 Months,26.6,17
Seasonal Influenza,Pennsylvania,42,2012-13,11,>=6 Months,36.3,9.7
Seasonal Influenza,Pennsylvania,42,2012-13,12,>=6 Months,39.7,3.4
Seasonal Influenza,Pennsylvania,42,2013-14,1,>=6 Months,43.7,4
Seasonal Influenza,Pennsylvania,42,2013-14,2,>=6 Months,44.9,1.2
Seasonal Influenza,Pennsylvania,42,2013-14,3,>=6 Months,45.4,0.5
Seasonal Influenza,Pennsylvania,42,2013-14,4,>=6 Months,46.1,0.7
Seasonal Influenza,Pennsylvania,42,2013-14,5,>=6 Months,46.3,0.2
Seasonal Influenza,Pennsylvania,42,2013-14,7,>=6 Months,0.3,0.3
Seasonal Influenza,Pennsylvania,42,2013-14,8,>=6 Months,2,1.7
Seasonal Influenza,Pennsylvania,42,2013-14,9,>=6 Months,9.8,7.8
Seasonal Influenza,Pennsylvania,42,2013-14,10,>=6 Months,29,19.2
Seasonal Influenza,Pennsylvania,42,2013-14,11,>=6 Months,38.3,9.3
Seasonal Influenza,Pennsylvania,42,2013-14,12,>=6 Months,41.3,3
Seasonal Influenza,Pennsylvania,42,2014-15,1,>=6 Months,46.5,5.2
Seasonal Influenza,Pennsylvania,42,2014-15,2,>=6 Months,47.9,1.4
Seasonal Influenza,Pennsylvania,42,2014-15,3,>=6 Months,49,1.1
Seasonal Influenza,Pennsylvania,42,2014-15,4,>=6 Months,49.9,0.9
