REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Pennsylvania,2010,40,X,0.703292,X,X,X,X,X,X,122,64,17347
States,Pennsylvania,2010,41,X,0.910726,X,X,X,X,X,X,157,64,17239
States,Pennsylvania,2010,42,X,0.881081,X,X,X,X,X,X,161,64,18273
States,Pennsylvania,2010,43,X,0.72118,X,X,X,X,X,X,133,65,18442
States,Pennsylvania,2010,44,X,0.991455,X,X,X,X,X,X,181,66,18256
States,Pennsylvania,2010,45,X,1.03377,X,X,X,X,X,X,184,63,17799
States,Pennsylvania,2010,46,X,0.946337,X,X,X,X,X,X,170,60,17964
States,Pennsylvania,2010,47,X,1.10846,X,X,X,X,X,X,144,67,12991
States,Pennsylvania,2010,48,X,1.20878,X,X,X,X,X,X,217,65,17952
States,Pennsylvania,2010,49,X,1.22407,X,X,X,X,X,X,203,61,16584
States,Pennsylvania,2010,50,X,1.35668,X,X,X,X,X,X,196,58,14447
States,Pennsylvania,2010,51,X,2.00375,X,X,X,X,X,X,214,55,10680
States,Pennsylvania,2010,52,X,2.38516,X,X,X,X,X,X,243,56,10188
States,Pennsylvania,2011,1,X,2.10846,X,X,X,X,X,X,257,56,12189
States,Pennsylvania,2011,2,X,2.3239,X,X,X,X,X,X,322,61,13856
States,Pennsylvania,2011,3,X,2.72705,X,X,X,X,X,X,439,64,16098
States,Pennsylvania,2011,4,X,4.04659,X,X,X,X,X,X,681,61,16829
States,Pennsylvania,2011,5,X,4.37266,X,X,X,X,X,X,758,65,17335
States,Pennsylvania,2011,6,X,3.74081,X,X,X,X,X,X,687,60,18365
States,Pennsylvania,2011,7,X,3.61821,X,X,X,X,X,X,663,62,18324
States,Pennsylvania,2011,8,X,3.40457,X,X,X,X,X,X,591,59,17359
States,Pennsylvania,2011,9,X,2.91082,X,X,X,X,X,X,485,57,16662
States,Pennsylvania,2011,10,X,2.76817,X,X,X,X,X,X,368,54,13294
States,Pennsylvania,2011,11,X,2.01834,X,X,X,X,X,X,328,57,16251
States,Pennsylvania,2011,12,X,1.58492,X,X,X,X,X,X,253,50,15963
States,Pennsylvania,2011,13,X,1.55592,X,X,X,X,X,X,244,50,15682
States,Pennsylvania,2011,14,X,1.68153,X,X,X,X,X,X,264,49,15700
