country,epiweek_id,new_cases,new_deaths,total_cases,total_deaths
Africa,2022-W17,2.0,0.0,41.0,2.0
Africa,2022-W18,0.0,0.0,41.0,2.0
Africa,2022-W19,4.0,0.0,45.0,2.0
Africa,2022-W20,2.0,0.0,47.0,2.0
Africa,2022-W21,0.0,0.0,47.0,2.0
Africa,2022-W22,19.0,1.0,66.0,3.0
Africa,2022-W23,15.0,0.0,81.0,3.0
Africa,2022-W24,9.0,0.0,90.0,3.0
Africa,2022-W25,26.0,0.0,116.0,3.0
Africa,2022-W26,30.0,1.0,146.0,4.0
Africa,2022-W27,22.0,0.0,168.0,4.0
Africa,2022-W28,22.0,0.0,190.0,4.0
Africa,2022-W29,17.0,0.0,207.0,4.0
Africa,2022-W30,41.0,1.0,248.0,5.0
Africa,2022-W31,21.0,3.0,269.0,8.0
Africa,2022-W32,64.0,0.0,333.0,8.0
Africa,2022-W33,33.0,5.0,366.0,13.0
Africa,2022-W34,44.0,0.0,410.0,13.0
Africa,2022-W35,46.0,1.0,456.0,14.0
Africa,2022-W36,42.0,0.0,498.0,14.0
Africa,2022-W37,56.0,1.0,554.0,15.0
Africa,2022-W38,64.0,0.0,618.0,15.0
Africa,2022-W39,40.0,0.0,658.0,15.0
Africa,2022-W40,49.0,0.0,707.0,15.0
Africa,2022-W41,28.0,0.0,735.0,15.0
Africa,2022-W42,32.0,1.0,767.0,16.0
Africa,2022-W43,27.0,0.0,794.0,16.0
Africa,2022-W44,20.0,0.0,814.0,16.0
Africa,2022-W45,16.0,0.0,830.0,16.0
Africa,2022-W46,21.0,0.0,851.0,16.0
Africa,2022-W47,25.0,0.0,876.0,16.0
Africa,2022-W48,40.0,0.0,916.0,16.0
Africa,2022-W49,34.0,0.0,950.0,16.0
Africa,2022-W50,11.0,0.0,961.0,16.0
Africa,2022-W51,8.0,0.0,969.0,16.0
Africa,2022-W52,8.0,0.0,977.0,16.0
Africa,2023-W01,6.0,0.0,983.0,16.0
Africa,2023-W02,13.0,1.0,996.0,17.0
Africa,2023-W03,17.0,0.0,1013.0,17.0
Africa,2023-W04,7.0,0.0,1020.0,17.0
Africa,2023-W05,7.0,0.0,1027.0,17.0
Africa,2023-W06,6.0,1.0,1033.0,18.0
Africa,2023-W07,8.0,0.0,1041.0,18.0
Africa,2023-W08,5.0,1.0,1046.0,19.0
Africa,2023-W09,3.0,0.0,1049.0,19.0
Africa,2023-W10,9.0,0.0,1058.0,19.0
Africa,2023-W11,4.0,0.0,1062.0,19.0
Africa,2023-W12,10.0,0.0,1072.0,19.0
Africa,2023-W13,5.0,0.0,1077.0,19.0
Africa,2023-W14,2.0,0.0,1079.0,19.0
Africa,2023-W15,1.0,0.0,1080.0,19.0
Africa,2023-W16,3.0,0.0,1083.0,19.0
Africa,2023-W17,0.0,0.0,1083.0,19.0
Africa,2023-W18,3.0,1.0,1086.0,20.0
Africa,2023-W19,5.0,1.0,1091.0,21.0
Africa,2023-W20,13.0,0.0,1104.0,21.0
Africa,2023-W21,1.0,0.0,1105.0,21.0
Africa,2023-W22,1.0,0.0,1106.0,21.0
